SKU,Name,Atributos,Imagen 1,Imagen 2,Imagen 3,Imagen 4,Imagen 5,Imagen 6,Imagen 7,Imagen 8,Imagen 9,Imagen 10,Imagen 11,Imagen 12,Imagen 13,Imagen 14,Imagen 15,Imagen 16,Imagen 17,Imagen 18,Imagen 19,Imagen 20,Imagen 21,Imagen 22,Imagen 23,Imagen 24,Imagen 25,Imagen 26,Imagen 27,Imagen 28,Imagen 29
19721711,Zapato choclo Camper para hombre,"GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Sin familia o colección,ComposicionGPO|MaterialAtt=4|Composición|9870|Material|Piel,GeneralGPO|BrandName=1|General|9000|Marca|CAMPER,DetallesGPO|SiluetaZapatoVaD=2|Detalles|99999|Silueta zapato|Choclo",https://ss237.liverpool.com.mx/xl/1096955924_2p.jpg,https://ss237.liverpool.com.mx/lg/1096955924.jpg,https://ss237.liverpool.com.mx/sm/1096955924.jpg,https://ss237.liverpool.com.mx/xl/1096955924.jpg,https://ss237.liverpool.com.mx/xl/1096955924_3p.jpg,https://ss237.liverpool.com.mx/xl/1096955924_1p.jpg,,,,,,,,,,,,,,,,,,,,,,,
9949464669,Tenis Vans unisex,"CaracteristicasGPO|DisciplineAtt=4|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=4|Detalles|99999|Superficie|Asfalto,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Sin familia o colección,SugeridoParaGPO|GenderAtt=2|Sugerido para|8270|Género|Unisex,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|BrandName=1|General|9000|Marca|VANS,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Control de movimiento",https://ss203.liverpool.com.mx/xl/9949464669_1p.jpg,https://ss203.liverpool.com.mx/lg/9949464669.jpg,https://ss203.liverpool.com.mx/xl/9949464669_2p.jpg,https://ss203.liverpool.com.mx/sm/9949464669.jpg,https://ss203.liverpool.com.mx/xl/9949464669.jpg,https://ss203.liverpool.com.mx/xl/9949464669_3p.jpg,,,,,,,,,,,,,,,,,,,,,,,
99967203741,Tenis Lacoste de piel Chaymon de hombre,"CaracteristicasGPO|DisciplineAtt=2|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=2|Detalles|99999|Superficie|Duela/cemento,idGenerico|BrandName=99999|General|1008|Marca|LACOSTE,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Chaymon,SugeridoParaGPO|GenderAtt=4|Sugerido para|8270|Género|Hombre,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Piel,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|OrthoLite",https://ss203.liverpool.com.mx/lg/1148622716.jpg,https://ss203.liverpool.com.mx/sm/1148622716.jpg,https://ss203.liverpool.com.mx/xl/1148622716_2p.jpg,https://ss203.liverpool.com.mx/xl/1148622716_3p.jpg,https://ss203.liverpool.com.mx/xl/1148622716_1p.jpg,https://ss203.liverpool.com.mx/xl/1148622716.jpg,,,,,,,,,,,,,,,,,,,,,,,
99967203474,Tenis ADIDAS de piel Ownthegame de hombre,"CaracteristicasGPO|DisciplineAtt=2|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=2|Detalles|99999|Superficie|Duela/cemento,idGenerico|BrandName=99999|General|1008|Marca|ADIDAS,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Ownthegame,SugeridoParaGPO|GenderAtt=4|Sugerido para|8270|Género|Hombre,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Cloudfoam",https://ss203.liverpool.com.mx/lg/1148621582.jpg,https://ss203.liverpool.com.mx/sm/1148621582.jpg,https://ss203.liverpool.com.mx/xl/1148621582_2p.jpg,https://ss203.liverpool.com.mx/xl/1148621582_3p.jpg,https://ss203.liverpool.com.mx/xl/1148621582_1p.jpg,https://ss203.liverpool.com.mx/xl/1148621582.jpg,,,,,,,,,,,,,,,,,,,,,,,
99965645357,Tenis Puma Mayze Plataforma White JRS de mujer,"CaracteristicasGPO|DisciplineAtt=2|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=2|Detalles|99999|Superficie|Asfalto,idGenerico|BrandName=99999|General|1008|Marca|PUMA,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Mayze Plataforma White JRS,SugeridoParaGPO|GenderAtt=4|Sugerido para|8270|Género|Mujer,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Sin tecnología",https://ss203.liverpool.com.mx/lg/1145798813.jpg,https://ss203.liverpool.com.mx/sm/1145798813.jpg,https://ss203.liverpool.com.mx/xl/1145798813_2p.jpg,https://ss203.liverpool.com.mx/xl/1145798813_1p.jpg,https://ss203.liverpool.com.mx/xl/1145798813_3p.jpg,https://ss203.liverpool.com.mx/xl/1145798813.jpg,,,,,,,,,,,,,,,,,,,,,,,
99964963177,Tenis Lacoste Carnaby Piquee de mujer,"CaracteristicasGPO|DisciplineAtt=2|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=2|Detalles|99999|Superficie|Duela/cemento,idGenerico|BrandName=99999|General|1008|Marca|LACOSTE,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Carnaby Piquee,SugeridoParaGPO|GenderAtt=4|Sugerido para|8270|Género|Mujer,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|OrthoLite",https://ss203.liverpool.com.mx/lg/1144900061.jpg,https://ss203.liverpool.com.mx/sm/1144900061.jpg,https://ss203.liverpool.com.mx/xl/1144900061_3p.jpg,https://ss203.liverpool.com.mx/xl/1144900061_1p.jpg,https://ss203.liverpool.com.mx/xl/1144900061_2p.jpg,https://ss203.liverpool.com.mx/xl/1144900061.jpg,,,,,,,,,,,,,,,,,,,,,,,
99961345100,Tenis Puma Ca Pro Classic unisex,"CaracteristicasGPO|DisciplineAtt=2|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=2|Detalles|99999|Superficie|Asfalto,idGenerico|BrandName=99999|General|1008|Marca|PUMA,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|CA Pro Classic,SugeridoParaGPO|GenderAtt=4|Sugerido para|8270|Género|Unisex,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Sin tecnología",https://ss203.liverpool.com.mx/xl/1139344827_2p.jpg,https://ss203.liverpool.com.mx/xl/1139344827_1p.jpg,https://ss203.liverpool.com.mx/lg/1139344827.jpg,https://ss203.liverpool.com.mx/sm/1139344827.jpg,https://ss203.liverpool.com.mx/xl/1139344827_3p.jpg,https://ss203.liverpool.com.mx/xl/1139344827.jpg,,,,,,,,,,,,,,,,,,,,,,,
9949615985,Tenis Converse unisex,"idGenerico|TecnologiaDeTenisVaD=99999|General|99999|Tecnología de tenis|Control de movimiento,CaracteristicasGPO|DisciplineAtt=4|Detalles|5960|Disciplina|Caminar,CaracteristicasGPO|AE496=4|Detalles|99999|Superficie|Asfalto,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|CONVERSE MOD. 9697,SugeridoParaGPO|GenderAtt=2|Sugerido para|8270|Género|Unisex,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Textil,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|BrandName=1|General|9000|Marca|CONVERSE",https://ss203.liverpool.com.mx/lg/1129246681.jpg,https://ss203.liverpool.com.mx/sm/1129246681.jpg,https://ss203.liverpool.com.mx/xl/1129246681_1p.jpg,https://ss203.liverpool.com.mx/xl/1129246681_2p.jpg,https://ss203.liverpool.com.mx/xl/1129246681_3p.jpg,https://ss203.liverpool.com.mx/xl/1129246681.jpg,,,,,,,,,,,,,,,,,,,,,,,
9947448048,Tenis Puma de hombre,"CaracteristicasGPO|DisciplineAtt=4|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=4|Detalles|99999|Superficie|Asfalto,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Caven Dime,SugeridoParaGPO|GenderAtt=2|Sugerido para|8270|Género|Hombre,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|BrandName=1|General|9000|Marca|PUMA,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Sin tecnología",https://ss203.liverpool.com.mx/xl/1127679106_3p.jpg,https://ss203.liverpool.com.mx/xl/1127679106_2p.jpg,https://ss203.liverpool.com.mx/lg/1127679106.jpg,https://ss203.liverpool.com.mx/sm/1127679106.jpg,https://ss203.liverpool.com.mx/xl/1127679106.jpg,https://ss203.liverpool.com.mx/xl/1127679106_1p.jpg,,,,,,,,,,,,,,,,,,,,,,,
9943047274,Tenis Puma de hombre,"CaracteristicasGPO|DisciplineAtt=4|Detalles|5960|Disciplina|Casual,CaracteristicasGPO|AE496=4|Detalles|99999|Superficie|Asfalto,GeneralGPO|ColeccionVaD=1|General|7480|Familia o colección|Ca Pro Classic,SugeridoParaGPO|GenderAtt=2|Sugerido para|8270|Género|Hombre,ComposicionGPO|MaterialAtt=3|Composición|9870|Material|Sintético,ComposicionGPO|StepTypeAtt=3|Composición|19300|Tipo de pisada|Neutral,GeneralGPO|BrandName=1|General|9000|Marca|PUMA,GeneralGPO|TecnologiaDeTenisVaD=1|General|99999|Tecnología de tenis|Sin tecnología",https://ss203.liverpool.com.mx/xl/1125390541_3p.jpg,https://ss203.liverpool.com.mx/lg/1125390541.jpg,https://ss203.liverpool.com.mx/sm/1125390541.jpg,https://ss203.liverpool.com.mx/xl/1125390541_2p.jpg,https://ss203.liverpool.com.mx/xl/1125390541.jpg,https://ss203.liverpool.com.mx/xl/1125390541_1p.jpg,,,,,,,,,,,,,,,,,,,,,,,
